,id,model,participant,prompt,target,predicted,src,split,question,response,response_num
17,hmsl_paperclip-d2f2,SemDis_glove_nf_m,hmsldENdB2Qt,paperclip,2.5,1.09466,hmsl,gt_main2,What is a surprising use for a PAPERCLIP?,pick fingernails,12.0
18,dod20_pants-c27f,SemDis_glove_nf_m,dod2011,pants,1.0,0.37781,dod20,gt_main2,What is a surprising use for PANTS?,wear,0
19,snb17_box-d6bb,SemDis_glove_nf_m,snb1794,box,1.7000000000000002,0.81438,snb17,gt_main2,What is a surprising use for a BOX?,sink,
20,motesf_sock-0115,SemDis_glove_nf_m,motesff7e6,sock,3.3,0.99191,motesf,gt_main2,What is a surprising use for a SOCK?,You can use them to store balls and then hang the sock up.,1
21,setal08_brick-ee3e,SemDis_glove_nf_m,setal089,brick,1.0,0.80368,setal08,gt_main2,What is a surprising use for a BRICK?,use to make a ramp,3.0
22,bs12_brick-8d06,SemDis_glove_nf_m,bs1217,brick,1.0,0.83219,bs12,gt_main2,What is a surprising use for a BRICK?,use a to way down something,
23,bs12_brick-b28f,SemDis_glove_nf_m,bs1266,brick,1.4,0.80584,bs12,gt_main2,What is a surprising use for a BRICK?,lining them up to make a giant picture on a large surface area,
24,setal08_brick-727e,SemDis_glove_nf_m,setal08216,brick,2.0,0.80259,setal08,gt_main2,What is a surprising use for a BRICK?,lay on,11.0
25,snbmo09_box-19e6,SemDis_glove_nf_m,snbmo09176,box,2.8,0.75941,snbmo09,gt_main2,What is a surprising use for a BOX?,hang it off a ceiling and have things or words drawn on it,4
26,snbmo09_box-9cd2,SemDis_glove_nf_m,snbmo0995,box,2.2,0.7491099999999999,snbmo09,gt_main2,What is a surprising use for a BOX?,a trap,4
27,dod20_book-6487,SemDis_glove_nf_m,dod2031,book,3.2,1.24605,dod20,gt_main2,What is a surprising use for a BOOK?,wrapping paper,24
28,motesf_toothbrush-d250,SemDis_glove_nf_m,motesf1534,toothbrush,2.4,0.97483,motesf,gt_main2,What is a surprising use for a TOOTHBRUSH?,a cleaning tool,6
29,snbmo09_box-457f,SemDis_glove_nf_m,snbmo0916,box,1.8,0.70484,snbmo09,gt_main2,What is a surprising use for a BOX?,make a halloween costume from a big box,7
30,dod20_table-6125,SemDis_glove_nf_m,dod2049,table,4.0,1.29626,dod20,gt_main2,What is a surprising use for a TABLE?,as a weapon to push onto someone,3
31,motesf_spoon-b38e,SemDis_glove_nf_m,motesf642e,spoon,3.3,0.92901,motesf,gt_main2,What is a surprising use for a SPOON?,create a cute (or handsome) friend out of the spoon and name it Bob,4
32,dod20_shovel-aba8,SemDis_glove_nf_m,dod2029,shovel,1.3,1.0091,dod20,gt_main2,What is a surprising use for a SHOVEL?,used in construction,0
33,dod20_rope-7dc6,SemDis_glove_nf_m,dod2075,rope,3.5,1.02876,dod20,gt_main2,What is a surprising use for a ROPE?,break through wall,3
34,bs12_brick-8cf0,SemDis_glove_nf_m,bs1239,brick,1.8,1.19251,bs12,gt_main2,What is a surprising use for a BRICK?,bug killed. Use to smoosh bugs,
35,hmsl_paperclip-932e,SemDis_glove_nf_m,hmslaGzhYc5T,paperclip,3.7,0.70357,hmsl,gt_main2,What is a surprising use for a PAPERCLIP?,melt and make into a tiny ball,8.0
36,setal08_brick-53d3,SemDis_glove_nf_m,setal08134,brick,3.0,0.8461,setal08,gt_main2,What is a surprising use for a BRICK?,test tube holder,4.0
37,setal08_brick-3a27,SemDis_glove_nf_m,setal08186,brick,1.7000000000000002,0.72129,setal08,gt_main2,What is a surprising use for a BRICK?,hollow it out,9.0
38,motesf_lightbulb-41f5,SemDis_glove_nf_m,motesf8f14,lightbulb,2.7,0.92359,motesf,gt_main2,What is a surprising use for a LIGHT BULB?,you can make fun glow in the dark sticks,4
39,dod20_fork-601a,SemDis_glove_nf_m,dod2085,fork,2.2,0.85102,dod20,gt_main2,What is a surprising use for a FORK?,throw,6
40,motesf_pencil-4ee4,SemDis_glove_nf_m,motesfb83a,pencil,3.3,1.05088,motesf,gt_main2,What is a surprising use for a PENCIL?,a toy wand you could sharpen it and get woodchips paint the pencil and put the woodchips on it to make it look more like a wand stick,7
41,dod20_table-3ccd,SemDis_glove_nf_m,dod2037,table,2.0,0.76881,dod20,gt_main2,What is a surprising use for a TABLE?,comfort,1
42,setal08_knife-1a04,SemDis_glove_nf_m,setal08154,knife,2.0,0.93256,setal08,gt_main2,What is a surprising use for a KNIFE?,open soda cans,4.0
43,hmsl_paperclip-819a,SemDis_glove_nf_m,hmslW8K1dDJu,paperclip,2.7,1.30726,hmsl,gt_main2,What is a surprising use for a PAPERCLIP?,use as an earring ,6.0
44,dod20_bottle-f188,SemDis_glove_nf_m,dod2081,bottle,4.3,,dod20,gt_main2,What is a surprising use for a BOTTLE?,windchimes,5
45,setal08_brick-8abd,SemDis_glove_nf_m,setal0863,brick,2.0,1.14489,setal08,gt_main2,What is a surprising use for a BRICK?,collection piece,3.0
46,betal18_box-7212,SemDis_glove_nf_m,betal182012,box,1.9,0.99784,betal18,gt_main2,What is a surprising use for a BOX?,as a floor rug,
47,dod20_table-154b,SemDis_glove_nf_m,dod2040,table,3.7,1.21106,dod20,gt_main2,What is a surprising use for a TABLE?,as a baby shelter,3
48,hmsl_paperclip-3dda,SemDis_glove_nf_m,hmsl57D9S225,paperclip,2.0,0.5041800000000001,hmsl,gt_main2,What is a surprising use for a PAPERCLIP?,put in hair,3.0
49,motesf_bottle-7359,SemDis_glove_nf_m,motesfef0d,bottle,2.7,0.80613,motesf,gt_main2,What is a surprising use for a BOTTLE?,a surprising way to use a bottle is to fill in food and then squish it or I can just use it like a back bag when you don't have one on you,3
50,hmsl_paperclip-d03a,SemDis_glove_nf_m,hmslB2edM796,paperclip,3.5,0.89944,hmsl,gt_main2,What is a surprising use for a PAPERCLIP?,electrical conduit,5.0
51,motesf_hat-3ea8,SemDis_glove_nf_m,motesfd82c,hat,2.7,1.17119,motesf,gt_main2,What is a surprising use for a HAT?,Eat your food with it.,7
52,hmsl_brick-6382,SemDis_glove_nf_m,hmsl7iC45VYt,brick,1.8,1.08122,hmsl,gt_main2,What is a surprising use for a BRICK?,flower beds,7.0
53,snb17_box-5f81,SemDis_glove_nf_m,snb17146,box,2.0,0.77359,snb17,gt_main2,What is a surprising use for a BOX?,unfold and use it as a breakdance ground,
54,setal08_knife-499d,SemDis_glove_nf_m,setal08228,knife,1.3,1.08216,setal08,gt_main2,What is a surprising use for a KNIFE?,open envelopes,2.0
55,snb17_box-4e8e,SemDis_glove_nf_m,snb1760,box,2.3,1.03475,snb17,gt_main2,What is a surprising use for a BOX?,door mat,
56,dod20_shoe-9884,SemDis_glove_nf_m,dod2056,shoe,1.0,1.05957,dod20,gt_main2,What is a surprising use for a SHOE?,foot cover,0
57,hmsl_brick-6417,SemDis_glove_nf_m,hmsl3dysp210,brick,1.8,0.79762,hmsl,gt_main2,What is a surprising use for a BRICK?,put behind the tire of your car on a hill,5.0
58,snb17_box-f117,SemDis_glove_nf_m,snb17119,box,1.7000000000000002,1.10925,snb17,gt_main2,What is a surprising use for a BOX?,making a fort,
59,motesf_pencil-9b9a,SemDis_glove_nf_m,motesf69ad,pencil,2.4,0.94315,motesf,gt_main2,What is a surprising use for a PENCIL?,To write a letter and wrap it up and give it to someone as a gift,3
60,setal08_knife-5265,SemDis_glove_nf_m,setal08205,knife,1.3,0.7334,setal08,gt_main2,What is a surprising use for a KNIFE?,carve notes into wood; no need for a pencil,2.0
61,hmsl_paperclip-4e9a,SemDis_glove_nf_m,hmsl5vOtwDx3,paperclip,2.3,0.75778,hmsl,gt_main2,What is a surprising use for a PAPERCLIP?,unlock a door,1.0
62,snb17_box-45d5,SemDis_glove_nf_m,snb1717,box,2.7,0.88454,snb17,gt_main2,What is a surprising use for a BOX?,podium,
63,hmsl_brick-9f5c,SemDis_glove_nf_m,hmsl8231icq2,brick,1.8,1.11203,hmsl,gt_main2,What is a surprising use for a BRICK?,Build a Fort,2.0
64,motesf_spoon-ee76,SemDis_glove_nf_m,motesf46ba,spoon,3.6,1.07265,motesf,gt_main2,What is a surprising use for a SPOON?,A surprising way to use a spoon can be to draw cute dots and turn it into an animal!,4
65,betal18_box-6a91,SemDis_glove_nf_m,betal182076,box,1.3,0.96511,betal18,gt_main2,What is a surprising use for a BOX?,transporting,
66,motesf_lightbulb-50ff,SemDis_glove_nf_m,motesf8f53,lightbulb,3.3,1.05124,motesf,gt_main2,What is a surprising use for a LIGHT BULB?,Turn it upside down and spin it like a top.,1
67,setal08_knife-a741,SemDis_glove_nf_m,setal0840,knife,2.3,1.13949,setal08,gt_main2,What is a surprising use for a KNIFE?,to decorate the garden,2.0
68,snbmo09_brick-ef8d,SemDis_glove_nf_m,snbmo09168,brick,2.0,0.94485,snbmo09,gt_main2,What is a surprising use for a BRICK?,to sleep on,1
69,motesf_sock-4fc9,SemDis_glove_nf_m,motesf9766,sock,1.9,0.91905,motesf,gt_main2,What is a surprising use for a SOCK?,put it on your feet,1
70,betal18_box-b5d2,SemDis_glove_nf_m,betal182117,box,2.7,1.22528,betal18,gt_main2,What is a surprising use for a BOX?,make alike a book bag so you will only use book instead of book bags,
71,snbmo09_box-512b,SemDis_glove_nf_m,snbmo09144,box,2.0,0.95564,snbmo09,gt_main2,What is a surprising use for a BOX?,bookbag/purse,5
72,snb17_box-2900,SemDis_glove_nf_m,snb17131,box,1.0,1.20491,snb17,gt_main2,What is a surprising use for a BOX?,fill people's recycling bins with them,
73,betal18_box-028a,SemDis_glove_nf_m,betal182023,box,1.6,0.82915,betal18,gt_main2,What is a surprising use for a BOX?,Instrument,
74,dod20_pants-66e9,SemDis_glove_nf_m,dod2048,pants,3.2,0.6757,dod20,gt_main2,What is a surprising use for PANTS?,curtains,13
75,motesp-g1_ball-22BS,SemDis_glove_nf_m,22BS,ball,1.4,1.19399,motesp,gt_main2,What is a surprising use for a BALL?,you can bounce it so high like a bounce ball,
76,motesf_sock-58c5,SemDis_glove_nf_m,motesf24b1,sock,4.1,0.99262,motesf,gt_main2,What is a surprising use for a SOCK?,Put beads in it to make music.,1
77,snb17_box-4eaa,SemDis_glove_nf_m,snb1733,box,2.3,1.21427,snb17,gt_main2,What is a surprising use for a BOX?,You could use it to create a replica from a scene in a movie  play tv show  etc.,
78,snbmo09_brick-21cc,SemDis_glove_nf_m,snbmo0995,brick,1.0,1.18566,snbmo09,gt_main2,What is a surprising use for a BRICK?,a back stop for a car/door,4
79,motesf_ball-8118,SemDis_glove_nf_m,motesfd296,ball,3.0,1.36246,motesf,gt_main2,What is a surprising use for a BALL?,pop it and squish it until it looks like a frisbee and play frisbee with it,1
80,snbmo09_brick-5e88,SemDis_glove_nf_m,snbmo09145,brick,1.7000000000000002,0.6683600000000001,snbmo09,gt_main2,What is a surprising use for a BRICK?,paint them,4
81,motesf_hat-a9f7,SemDis_glove_nf_m,motesf757b,hat,1.6,0.69333,motesf,gt_main2,What is a surprising use for a HAT?,to wear on top of your head,7
82,hmsl_brick-81f4,SemDis_glove_nf_m,hmslz793il3x,brick,1.0,1.11153,hmsl,gt_main2,What is a surprising use for a BRICK?,building home,1.0
83,snbmo09_knife-c764,SemDis_glove_nf_m,snbmo0924,knife,2.0,1.06552,snbmo09,gt_main2,What is a surprising use for a KNIFE?,spreading paint,6
84,setal08_knife-63f1,SemDis_glove_nf_m,setal08142,knife,1.3,1.17211,setal08,gt_main2,What is a surprising use for a KNIFE?,cutting out wounds,4.0
85,snbmo09_knife-da8a,SemDis_glove_nf_m,snbmo099,knife,1.5,1.21115,snbmo09,gt_main2,What is a surprising use for a KNIFE?,use to dig,8
86,dod20_rope-052a,SemDis_glove_nf_m,dod2016,rope,3.0,1.00498,dod20,gt_main2,What is a surprising use for a ROPE?,hang flowerpot from ceiling,4
87,setal08_knife-cd54,SemDis_glove_nf_m,setal0895,knife,1.3,0.9583,setal08,gt_main2,What is a surprising use for a KNIFE?,movies,13.0
88,setal08_brick-c63d,SemDis_glove_nf_m,setal0872,brick,1.3,0.85815,setal08,gt_main2,What is a surprising use for a BRICK?,for pressure on top of something,2.0
89,snb17_rope-9d84,SemDis_glove_nf_m,snb17154,rope,1.0,1.03428,snb17,gt_main2,What is a surprising use for a ROPE?,Tie your dog to a tree or post,
90,bs12_brick-c950,SemDis_glove_nf_m,bs12113,brick,1.8,0.86138,bs12,gt_main2,What is a surprising use for a BRICK?,buddy you can dress up,
91,bs12_brick-5c9f,SemDis_glove_nf_m,bs1217,brick,1.0,0.90341,bs12,gt_main2,What is a surprising use for a BRICK?,smell a,
92,setal08_brick-3270,SemDis_glove_nf_m,setal08168,brick,2.3,1.12545,setal08,gt_main2,What is a surprising use for a BRICK?,you could put it on the bottom of your shoes to be taller,2.0
93,motesf_toothbrush-4554,SemDis_glove_nf_m,motesf11b9,toothbrush,3.6,1.04165,motesf,gt_main2,What is a surprising use for a TOOTHBRUSH?,Use it for painting,3
94,betal18_box-f7df,SemDis_glove_nf_m,betal182003,box,1.0,0.85788,betal18,gt_main2,What is a surprising use for a BOX?,Weapon,
95,betal18_box-f3f1,SemDis_glove_nf_m,betal182073,box,1.9,0.7895099999999999,betal18,gt_main2,What is a surprising use for a BOX?,poster,
96,setal08_brick-3260,SemDis_glove_nf_m,setal08183,brick,2.0,0.97278,setal08,gt_main2,What is a surprising use for a BRICK?,engrave/carve somthing in it,2.0
97,betal18_rope-f773,SemDis_glove_nf_m,betal182126,rope,2.7,0.67508,betal18,gt_main2,What is a surprising use for a ROPE?,skis,
98,hmsl_paperclip-56b4,SemDis_glove_nf_m,hmslUBn73eP3,paperclip,2.0,0.6169899999999999,hmsl,gt_main2,What is a surprising use for a PAPERCLIP?,to open a lock,2.0
99,hmsl_brick-a50b,SemDis_glove_nf_m,hmsl9cGn0FdJ,brick,1.8,0.92378,hmsl,gt_main2,What is a surprising use for a BRICK?,for a phone ,1.0
100,snb17_rope-d493,SemDis_glove_nf_m,snb1776,rope,2.3,0.8572299999999999,snb17,gt_main2,What is a surprising use for a ROPE?,to make hair for a doll,
101,dod20_shoe-94b4,SemDis_glove_nf_m,dod2013,shoe,2.2,0.88878,dod20,gt_main2,What is a surprising use for a SHOE?,sign it,7
102,setal08_knife-503c,SemDis_glove_nf_m,setal08172,knife,1.7000000000000002,0.82731,setal08,gt_main2,What is a surprising use for a KNIFE?,haircut,3.0
103,motesp-g1_backpack-12AM,SemDis_glove_nf_m,12AM,backpack,3.2,0.88765,motesp,gt_main2,What is a surprising use for a BACKPACK?,To put a backpack in a backpack 100 times.,
104,hmsl_paperclip-0a20,SemDis_glove_nf_m,hmslhj8bSQrN,paperclip,3.8,1.22996,hmsl,gt_main2,What is a surprising use for a PAPERCLIP?,make a bow and arrow,8.0
105,betal18_box-c093,SemDis_glove_nf_m,betal182031,box,1.0,1.19414,betal18,gt_main2,What is a surprising use for a BOX?,House/Living,
106,betal18_box-f387,SemDis_glove_nf_m,betal182079,box,1.0,0.8544700000000001,betal18,gt_main2,What is a surprising use for a BOX?,present,
107,snbmo09_knife-f09f,SemDis_glove_nf_m,snbmo09129,knife,2.2,0.7744,snbmo09,gt_main2,What is a surprising use for a KNIFE?,use to frame a picture,4
108,hmsl_brick-61bd,SemDis_glove_nf_m,hmslY2ov9UYW,brick,3.0,0.93575,hmsl,gt_main2,What is a surprising use for a BRICK?,to brea,5.0
109,snbmo09_box-bf46,SemDis_glove_nf_m,snbmo09176,box,1.0,1.25812,snbmo09,gt_main2,What is a surprising use for a BOX?,store things in it,5
110,dod20_fork-ecf5,SemDis_glove_nf_m,dod2081,fork,2.8,1.07565,dod20,gt_main2,What is a surprising use for a FORK?,stab lid of jar for insects,10
111,bs12_brick-222a,SemDis_glove_nf_m,bs1299,brick,2.6,1.09534,bs12,gt_main2,What is a surprising use for a BRICK?,could also possibly be used as currency,
112,motesf_bottle-77b4,SemDis_glove_nf_m,motesf432a,bottle,2.7,1.20968,motesf,gt_main2,What is a surprising use for a BOTTLE?,crush it and cut it up and make a craft,6
113,betal18_box-1b60,SemDis_glove_nf_m,betal182026,box,1.6,1.22582,betal18,gt_main2,What is a surprising use for a BOX?,Hide small presents inside,
114,snb17_box-b393,SemDis_glove_nf_m,snb175,box,1.7000000000000002,1.13684,snb17,gt_main2,What is a surprising use for a BOX?,fort for a child,
115,setal08_knife-f41d,SemDis_glove_nf_m,setal0851,knife,2.3,0.77215,setal08,gt_main2,What is a surprising use for a KNIFE?,use it to turn on a stereo that has the buttons pushed out of it,4.0
116,dod20_fork-bbdf,SemDis_glove_nf_m,dod2045,fork,2.0,0.92007,dod20,gt_main2,What is a surprising use for a FORK?,piercing plastic wrap,3
117,hmsl_paperclip-1b82,SemDis_glove_nf_m,hmslww8QYGoO,paperclip,2.3,0.59047,hmsl,gt_main2,What is a surprising use for a PAPERCLIP?,chip clip,7.0
118,bs12_brick-3ce3,SemDis_glove_nf_m,bs1226,brick,2.6,1.00134,bs12,gt_main2,What is a surprising use for a BRICK?,a pet,
119,betal18_box-0cf1,SemDis_glove_nf_m,betal182076,box,1.6,1.05909,betal18,gt_main2,What is a surprising use for a BOX?,shielding,
120,betal18_box-3bc3,SemDis_glove_nf_m,betal182123,box,1.3,0.6654100000000001,betal18,gt_main2,What is a surprising use for a BOX?,toy,
121,snb17_box-1e55,SemDis_glove_nf_m,snb17130,box,1.7000000000000002,1.12745,snb17,gt_main2,What is a surprising use for a BOX?,to build a fort with,
122,dod20_fork-2110,SemDis_glove_nf_m,dod2078,fork,2.3,0.99014,dod20,gt_main2,What is a surprising use for a FORK?,roast marshmallows,6
123,snb17_rope-e8e0,SemDis_glove_nf_m,snb17151,rope,2.0,1.10587,snb17,gt_main2,What is a surprising use for a ROPE?,as a workout where you grab 2 ends of the and roll it in a wave motion,
124,setal08_knife-e663,SemDis_glove_nf_m,setal0813,knife,1.7000000000000002,1.07548,setal08,gt_main2,What is a surprising use for a KNIFE?,take out a splinter,3.0
125,setal08_knife-ba03,SemDis_glove_nf_m,setal08228,knife,1.3,1.19401,setal08,gt_main2,What is a surprising use for a KNIFE?,cut shoes,5.0
126,setal08_knife-a604,SemDis_glove_nf_m,setal0858,knife,2.3,0.8322499999999999,setal08,gt_main2,What is a surprising use for a KNIFE?,pick walnuts off a brownie,2.0
127,dod20_shovel-5216,SemDis_glove_nf_m,dod2022,shovel,2.8,0.99439,dod20,gt_main2,What is a surprising use for a SHOVEL?,decoration,2
128,setal08_brick-ef09,SemDis_glove_nf_m,setal0866,brick,1.7000000000000002,1.15287,setal08,gt_main2,What is a surprising use for a BRICK?,to make something level (table),2.0
129,motesf_lightbulb-6975,SemDis_glove_nf_m,motesfbac9,lightbulb,3.9,0.99038,motesf,gt_main2,What is a surprising use for a LIGHT BULB?,eat it for a snack,5
130,setal08_knife-380a,SemDis_glove_nf_m,setal08217,knife,2.3,1.20056,setal08,gt_main2,What is a surprising use for a KNIFE?,"if you're stuck in you're car by your seat belt during an accident, cut the seat bell",5.0
131,snb17_box-e6eb,SemDis_glove_nf_m,snb17107,box,1.7000000000000002,1.07093,snb17,gt_main2,What is a surprising use for a BOX?,Ballet Box,
132,setal08_knife-2960,SemDis_glove_nf_m,setal0871,knife,1.7000000000000002,0.90087,setal08,gt_main2,What is a surprising use for a KNIFE?,to deflate balloons,3.0
133,snb17_box-9777,SemDis_glove_nf_m,snb1711,box,1.3,1.21035,snb17,gt_main2,What is a surprising use for a BOX?,Using it as a hat,
134,betal18_box-61ce,SemDis_glove_nf_m,betal182067,box,1.9,1.32426,betal18,gt_main2,What is a surprising use for a BOX?,writing to do lists,
135,hmsl_paperclip-3d7d,SemDis_glove_nf_m,hmsl3vBR15MO,paperclip,3.0,0.54477,hmsl,gt_main2,What is a surprising use for a PAPERCLIP?,Hold String Lights (with tape),7.0
136,motesf_sock-f1c6,SemDis_glove_nf_m,motesfe369,sock,3.6,0.97592,motesf,gt_main2,What is a surprising use for a SOCK?,to make a dog,2
137,dod20_tire-dabf,SemDis_glove_nf_m,dod2016,tire,3.0,1.1044,dod20,gt_main2,What is a surprising use for a TIRE?,paint and put on wall as decorative,2
138,hmsl_brick-c1e2,SemDis_glove_nf_m,hmsl737W95CH,brick,1.5,1.17395,hmsl,gt_main2,What is a surprising use for a BRICK?,weight to hold objects in place,3.0
139,dod20_rope-5899,SemDis_glove_nf_m,dod2089,rope,3.0,0.84944,dod20,gt_main2,What is a surprising use for a ROPE?,secure door locks,3
140,hmsl_paperclip-857b,SemDis_glove_nf_m,hmslRF5YP927,paperclip,4.3,1.05842,hmsl,gt_main2,What is a surprising use for a PAPERCLIP?,used in cello tape to prevent sticking,1.0
141,dod20_pants-fda0,SemDis_glove_nf_m,dod2036,pants,3.0,1.0561,dod20,gt_main2,What is a surprising use for PANTS?,umbrella/cover,1
142,snbmo09_brick-1f81,SemDis_glove_nf_m,snbmo09155,brick,3.2,0.96587,snbmo09,gt_main2,What is a surprising use for a BRICK?,use them as dominos,12
143,motesf_spoon-43cf,SemDis_glove_nf_m,motesf02e7,spoon,2.4,1.04931,motesf,gt_main2,What is a surprising use for a SPOON?,to use as drum sticks,7
144,motesf_toothbrush-2e63,SemDis_glove_nf_m,motesf7a61,toothbrush,2.7,0.96257,motesf,gt_main2,What is a surprising use for a TOOTHBRUSH?,comb your hair,7
145,dod20_book-cb7e,SemDis_glove_nf_m,dod2087,book,3.7,1.24458,dod20,gt_main2,What is a surprising use for a BOOK?,gluing to the wall as an art exhibit or for a child,26
146,snbmo09_knife-daf0,SemDis_glove_nf_m,snbmo09106,knife,1.0,1.17004,snbmo09,gt_main2,What is a surprising use for a KNIFE?,something to eat with,2
147,motesf_bottle-737e,SemDis_glove_nf_m,motesff221,bottle,3.6,1.21752,motesf,gt_main2,What is a surprising use for a BOTTLE?,cut it and make a gummy out of it,2
148,snb17_rope-1e94,SemDis_glove_nf_m,snb1795,rope,2.3,0.9661,snb17,gt_main2,What is a surprising use for a ROPE?,cowboy impersonations,
149,motesf_pencil-2929,SemDis_glove_nf_m,motesf38af,pencil,3.6,1.07251,motesf,gt_main2,What is a surprising use for a PENCIL?,a pencil castle or an airplane made of it.,5
150,dod20_shoe-eae4,SemDis_glove_nf_m,dod2018,shoe,2.8,1.06849,dod20,gt_main2,What is a surprising use for a SHOE?,tie laces together and throw as a game,5
151,bs12_brick-4e50,SemDis_glove_nf_m,bs1215,brick,1.0,1.18682,bs12,gt_main2,What is a surprising use for a BRICK?,seat made of,
152,motesf_hat-afe2,SemDis_glove_nf_m,motesf06eb,hat,4.7,1.18405,motesf,gt_main2,What is a surprising use for a HAT?,A hat can be a changing color hat you press on that it says what you want the hat to look like and it will show up on the hat.,3
153,dod20_table-0b8e,SemDis_glove_nf_m,dod2042,table,3.2,1.12572,dod20,gt_main2,What is a surprising use for a TABLE?,dance platform,1
154,setal08_knife-4825,SemDis_glove_nf_m,setal0853,knife,1.7000000000000002,1.19398,setal08,gt_main2,What is a surprising use for a KNIFE?,use as a centerpiece,4.0
155,betal18_rope-249b,SemDis_glove_nf_m,betal182117,rope,3.3,0.8914,betal18,gt_main2,What is a surprising use for a ROPE?,do any experiment on how you get along with a person you're tied to for 4 hours using,
156,dod20_shovel-ff61,SemDis_glove_nf_m,dod203,shovel,3.0,0.5662400000000001,dod20,gt_main2,What is a surprising use for a SHOVEL?,broom,3
157,snb17_box-0f9e,SemDis_glove_nf_m,snb1740,box,3.0,1.22391,snb17,gt_main2,What is a surprising use for a BOX?,to use as a punching bag tied by a rope to a tree,
158,setal08_brick-3159,SemDis_glove_nf_m,setal0848,brick,2.0,0.8259799999999999,setal08,gt_main2,What is a surprising use for a BRICK?,to play hand toss,1.0
159,setal08_brick-250a,SemDis_glove_nf_m,setal08210,brick,1.3,0.86222,setal08,gt_main2,What is a surprising use for a BRICK?,hold down flat items,8.0
160,betal18_box-cb5b,SemDis_glove_nf_m,betal182051,box,1.3,1.24629,betal18,gt_main2,What is a surprising use for a BOX?,use it for exercise,
161,betal18_box-e921,SemDis_glove_nf_m,betal182017,box,2.0,0.82214,betal18,gt_main2,What is a surprising use for a BOX?,robot,
162,motesp-g1_sock-25AJ,SemDis_glove_nf_m,25AJ,sock,3.0,0.9985,motesp,gt_main2,What is a surprising use for a SOCK?,You can wear it on top of your shoes so it can protect your feet.,
163,hmsl_brick-c4bf,SemDis_glove_nf_m,hmsl4dUr6hnh,brick,3.0,1.04198,hmsl,gt_main2,What is a surprising use for a BRICK?,fridge handle,12.0
164,bs12_brick-c57b,SemDis_glove_nf_m,bs1251,brick,1.0,1.10886,bs12,gt_main2,What is a surprising use for a BRICK?,Use it for defense,
165,snbmo09_box-ad73,SemDis_glove_nf_m,snbmo0981,box,1.4,1.15805,snbmo09,gt_main2,What is a surprising use for a BOX?,hiding place,4
166,setal08_brick-4706,SemDis_glove_nf_m,setal08228,brick,1.7000000000000002,0.82547,setal08,gt_main2,What is a surprising use for a BRICK?,car stopper (behind tires),6.0
