,id,model,participant,prompt,target,predicted,src
43,motesf_pencil-2c6f,gpt-emb-text-similarity-babbage-001,motesf5823,pencil,2.1,0.23710512394275496,motesf
44,motesf_pencil-f556,gpt-emb-text-similarity-babbage-001,motesf979d,pencil,2.1,0.16612969652182719,motesf
45,motesf_pencil-2929,gpt-emb-text-similarity-babbage-001,motesf38af,pencil,3.6,0.22438384487006324,motesf
46,motesf_pencil-6895,gpt-emb-text-similarity-babbage-001,motesfc8ff,pencil,3.6,0.24036231129038899,motesf
47,motesf_pencil-f7a8,gpt-emb-text-similarity-babbage-001,motesf1385,pencil,3.9,0.2991200879284165,motesf
48,motesp-g1_pencil-34HA,gpt-emb-text-similarity-babbage-001,34HA,pencil,3.0,0.28263013566792516,motesp
49,motesf_pencil-7c1a,gpt-emb-text-similarity-babbage-001,motesf0aa1,pencil,3.3,0.2677154340584934,motesf
50,motesf_pencil-ef82,gpt-emb-text-similarity-babbage-001,motesf274a,pencil,3.3,0.2731021315419062,motesf
51,motesf_pencil-4e9b,gpt-emb-text-similarity-babbage-001,motesf577b,pencil,2.7,0.2522860796912335,motesf
52,motesf_pencil-97c6,gpt-emb-text-similarity-babbage-001,motesf7ef6,pencil,2.4,0.3003137335375169,motesf
53,motesf_pencil-fdd7,gpt-emb-text-similarity-babbage-001,motesfeccb,pencil,3.3,0.2854545791125396,motesf
54,dod20_book-2f63,gpt-emb-text-similarity-babbage-001,dod2036,book,4.5,0.28098104719246775,dod20
55,dod20_book-4b84,gpt-emb-text-similarity-babbage-001,dod2053,book,3.0,0.2965509753550525,dod20
56,dod20_book-46c5,gpt-emb-text-similarity-babbage-001,dod2027,book,1.2,0.14628083545481319,dod20
57,dod20_book-5891,gpt-emb-text-similarity-babbage-001,dod2077,book,1.3,0.17863571044429116,dod20
58,dod20_book-e527,gpt-emb-text-similarity-babbage-001,dod208,book,3.0,0.3090532178901477,dod20
59,dod20_book-711f,gpt-emb-text-similarity-babbage-001,dod2048,book,2.7,0.32425847667715746,dod20
60,dod20_book-7bb5,gpt-emb-text-similarity-babbage-001,dod2089,book,2.8,0.20542246505687678,dod20
61,dod20_book-61b2,gpt-emb-text-similarity-babbage-001,dod2087,book,2.7,0.2669537983007829,dod20
62,dod20_book-2849,gpt-emb-text-similarity-babbage-001,dod2055,book,2.5,0.2578067732110192,dod20
63,dod20_book-b381,gpt-emb-text-similarity-babbage-001,dod2032,book,4.0,0.2680314104285627,dod20
64,dod20_book-6baf,gpt-emb-text-similarity-babbage-001,dod2074,book,3.7,0.36786955180391956,dod20
65,dod20_book-db1c,gpt-emb-text-similarity-babbage-001,dod2017,book,3.0,0.2928775850172749,dod20
66,dod20_book-5aed,gpt-emb-text-similarity-babbage-001,dod2021,book,1.5,0.1791826842881472,dod20
67,dod20_book-5b51,gpt-emb-text-similarity-babbage-001,dod2013,book,3.0,0.2998170649841648,dod20
68,dod20_book-0c1b,gpt-emb-text-similarity-babbage-001,dod2069,book,2.7,0.32793103127277623,dod20
69,dod20_book-e23b,gpt-emb-text-similarity-babbage-001,dod2083,book,3.0,0.24312162331249465,dod20
70,dod20_book-97c0,gpt-emb-text-similarity-babbage-001,dod208,book,3.0,0.2973290546595929,dod20
71,dod20_book-b804,gpt-emb-text-similarity-babbage-001,dod2087,book,2.7,0.33575832519379256,dod20
72,dod20_book-cf49,gpt-emb-text-similarity-babbage-001,dod2064,book,1.5,0.20460639952105086,dod20
73,dod20_book-be18,gpt-emb-text-similarity-babbage-001,dod2040,book,1.2,0.3120591759560165,dod20
74,dod20_book-3d79,gpt-emb-text-similarity-babbage-001,dod2060,book,2.5,0.29894913938549883,dod20
75,dod20_book-efb4,gpt-emb-text-similarity-babbage-001,dod208,book,3.0,0.16464170744807582,dod20
76,dod20_book-09ac,gpt-emb-text-similarity-babbage-001,dod2092,book,2.8,0.31018741547282636,dod20
77,dod20_book-6487,gpt-emb-text-similarity-babbage-001,dod2031,book,3.2,0.31974094533720576,dod20
78,dod20_book-7da2,gpt-emb-text-similarity-babbage-001,dod206,book,2.7,0.2910554549099589,dod20
79,dod20_book-73da,gpt-emb-text-similarity-babbage-001,dod2070,book,3.0,0.17937753438962056,dod20
80,dod20_book-f0c7,gpt-emb-text-similarity-babbage-001,dod2075,book,4.0,0.3830590249294876,dod20
81,dod20_book-ca6d,gpt-emb-text-similarity-babbage-001,dod2085,book,3.5,0.28122608305477814,dod20
82,dod20_book-fc45,gpt-emb-text-similarity-babbage-001,dod2034,book,3.0,0.30404966333596684,dod20
83,dod20_book-fbae,gpt-emb-text-similarity-babbage-001,dod2044,book,3.0,0.3425200213467955,dod20
84,dod20_book-c725,gpt-emb-text-similarity-babbage-001,dod2076,book,3.5,0.24234322901421157,dod20
85,dod20_book-af53,gpt-emb-text-similarity-babbage-001,dod2051,book,2.2,0.3260415441509321,dod20
86,dod20_book-9940,gpt-emb-text-similarity-babbage-001,dod2077,book,1.3,0.17862411820787838,dod20
87,dod20_book-dc0e,gpt-emb-text-similarity-babbage-001,dod2012,book,2.7,0.3386358546586019,dod20
88,dod20_book-8372,gpt-emb-text-similarity-babbage-001,dod208,book,2.7,0.22947567648470535,dod20
89,dod20_book-663b,gpt-emb-text-similarity-babbage-001,dod2019,book,3.0,0.23080418028365923,dod20
90,dod20_book-7cf0,gpt-emb-text-similarity-babbage-001,dod2092,book,2.5,0.30678294475030743,dod20
91,dod20_book-35fa,gpt-emb-text-similarity-babbage-001,dod2027,book,3.7,0.3411638319864647,dod20
92,dod20_book-1b06,gpt-emb-text-similarity-babbage-001,dod2084,book,2.0,0.34065829363629174,dod20
93,dod20_book-973e,gpt-emb-text-similarity-babbage-001,dod2066,book,3.2,0.32180799049289543,dod20
94,dod20_book-0328,gpt-emb-text-similarity-babbage-001,dod2043,book,2.8,0.2634361386409526,dod20
95,dod20_book-7e02,gpt-emb-text-similarity-babbage-001,dod2013,book,1.5,0.2555177867744528,dod20
96,dod20_book-51c4,gpt-emb-text-similarity-babbage-001,dod2054,book,2.8,0.28690453624973444,dod20
97,dod20_book-8209,gpt-emb-text-similarity-babbage-001,dod2034,book,3.0,0.2730423149528778,dod20
98,dod20_book-1676,gpt-emb-text-similarity-babbage-001,dod2061,book,2.5,0.31158001397928003,dod20
99,dod20_book-5c62,gpt-emb-text-similarity-babbage-001,dod2053,book,3.5,0.3116881641477276,dod20
100,dod20_book-9b90,gpt-emb-text-similarity-babbage-001,dod2046,book,3.2,0.3277778168708343,dod20
101,dod20_book-3504,gpt-emb-text-similarity-babbage-001,dod2048,book,4.2,0.34624725812785473,dod20
102,dod20_book-5c75,gpt-emb-text-similarity-babbage-001,dod2073,book,3.2,0.24441380344365893,dod20
103,dod20_book-c6a8,gpt-emb-text-similarity-babbage-001,dod2031,book,2.5,0.27993965837382107,dod20
104,dod20_book-cb7e,gpt-emb-text-similarity-babbage-001,dod2087,book,3.7,0.3518672984389878,dod20
105,dod20_book-7ae3,gpt-emb-text-similarity-babbage-001,dod2048,book,3.7,0.20611621146386405,dod20
106,dod20_book-1de7,gpt-emb-text-similarity-babbage-001,dod202,book,3.5,0.3272072827195147,dod20
107,dod20_book-0905,gpt-emb-text-similarity-babbage-001,dod2088,book,3.0,0.2980711303871677,dod20
108,dod20_book-5e4b,gpt-emb-text-similarity-babbage-001,dod2048,book,3.0,0.3392600660095837,dod20
109,dod20_book-54aa,gpt-emb-text-similarity-babbage-001,dod2081,book,3.5,0.36457330157864,dod20
110,dod20_book-a17d,gpt-emb-text-similarity-babbage-001,dod2062,book,3.5,0.3285128897922134,dod20
111,dod20_book-acc5,gpt-emb-text-similarity-babbage-001,dod2038,book,2.7,0.29131155084501537,dod20
112,dod20_book-99d4,gpt-emb-text-similarity-babbage-001,dod206,book,2.8,0.16636762374149083,dod20
113,dod20_book-2da9,gpt-emb-text-similarity-babbage-001,dod2042,book,4.5,0.3363657716921623,dod20
114,dod20_book-7888,gpt-emb-text-similarity-babbage-001,dod2024,book,2.2,0.33303488962252503,dod20
115,dod20_book-887c,gpt-emb-text-similarity-babbage-001,dod2062,book,3.5,0.30257849920747837,dod20
116,dod20_book-3b59,gpt-emb-text-similarity-babbage-001,dod2028,book,3.8,0.3243268574994872,dod20
117,dod20_book-a5f3,gpt-emb-text-similarity-babbage-001,dod2075,book,2.7,0.29643036458299465,dod20
118,dod20_book-d9a5,gpt-emb-text-similarity-babbage-001,dod2074,book,2.7,0.32343543592719426,dod20
119,dod20_book-d882,gpt-emb-text-similarity-babbage-001,dod2081,book,3.0,0.3298494045530115,dod20
120,dod20_book-9c8c,gpt-emb-text-similarity-babbage-001,dod2063,book,3.5,0.15355119873937206,dod20
121,dod20_book-8d31,gpt-emb-text-similarity-babbage-001,dod2017,book,2.5,0.311446262104621,dod20
122,dod20_book-616b,gpt-emb-text-similarity-babbage-001,dod2090,book,1.2,0.30576055470064467,dod20
123,dod20_book-9593,gpt-emb-text-similarity-babbage-001,dod2015,book,5.0,0.34337378048621525,dod20
124,dod20_book-63a2,gpt-emb-text-similarity-babbage-001,dod2048,book,2.8,0.3285144781947342,dod20
125,dod20_book-c837,gpt-emb-text-similarity-babbage-001,dod205,book,2.5,0.23875010848358824,dod20
126,dod20_book-d987,gpt-emb-text-similarity-babbage-001,dod2089,book,3.7,0.18777320189828728,dod20
127,dod20_book-4f92,gpt-emb-text-similarity-babbage-001,dod2060,book,3.0,0.31145184981377916,dod20
128,dod20_book-3962,gpt-emb-text-similarity-babbage-001,dod2036,book,3.5,0.2301333052813146,dod20
129,dod20_book-96f5,gpt-emb-text-similarity-babbage-001,dod2019,book,2.5,0.29979502895754195,dod20
130,dod20_book-b331,gpt-emb-text-similarity-babbage-001,dod2045,book,2.7,0.26829776178807374,dod20
131,dod20_book-cb01,gpt-emb-text-similarity-babbage-001,dod2061,book,3.2,0.18371772828244315,dod20
132,dod20_book-96e1,gpt-emb-text-similarity-babbage-001,dod2038,book,1.3,0.31227525375447296,dod20
133,dod20_book-6548,gpt-emb-text-similarity-babbage-001,dod2013,book,1.5,0.2989931202058461,dod20
134,dod20_book-97f6,gpt-emb-text-similarity-babbage-001,dod2092,book,3.0,0.3206736379150821,dod20
135,motesf_spoon-4ff1,gpt-emb-text-similarity-babbage-001,motesf7588,spoon,3.3,0.2793493925971313,motesf
136,motesf_spoon-4ca0,gpt-emb-text-similarity-babbage-001,motesf819f,spoon,2.7,0.28978960636714535,motesf
137,motesf_spoon-4034,gpt-emb-text-similarity-babbage-001,motesfd709,spoon,2.7,0.26320317948587835,motesf
138,motesp-g1_spoon-31MB,gpt-emb-text-similarity-babbage-001,31MB,spoon,3.2,0.25808239367389607,motesp
139,motesf_spoon-59d1,gpt-emb-text-similarity-babbage-001,motesf8d3b,spoon,3.9,0.3149248752295144,motesf
140,motesf_spoon-1d94,gpt-emb-text-similarity-babbage-001,motesfb1a5,spoon,3.3,0.3059377359431932,motesf
141,motesf_spoon-4059,gpt-emb-text-similarity-babbage-001,motesf735b,spoon,2.4,0.2271179788530594,motesf
142,motesf_spoon-c66c,gpt-emb-text-similarity-babbage-001,motesf45fb,spoon,3.3,0.23376206273903855,motesf
143,motesf_spoon-4295,gpt-emb-text-similarity-babbage-001,motesf1c9a,spoon,2.4,0.22178482263115906,motesf
144,motesf_spoon-bc2f,gpt-emb-text-similarity-babbage-001,motesf0640,spoon,2.7,0.3032451344175766,motesf
145,motesf_spoon-0295,gpt-emb-text-similarity-babbage-001,motesf6ea9,spoon,2.4,0.3466179200814423,motesf
146,motesf_spoon-9743,gpt-emb-text-similarity-babbage-001,motesf89f0,spoon,3.6,0.35296947391358446,motesf
147,motesp-g1_spoon-14ML,gpt-emb-text-similarity-babbage-001,14ML,spoon,3.0,0.2315391169035732,motesp
148,motesf_spoon-d2fe,gpt-emb-text-similarity-babbage-001,motesf16a5,spoon,2.7,0.2765297023014798,motesf
149,motesf_spoon-aa51,gpt-emb-text-similarity-babbage-001,motesfcb70,spoon,2.7,0.3407310872172069,motesf
150,motesf_spoon-b38e,gpt-emb-text-similarity-babbage-001,motesf642e,spoon,3.3,0.2505094397014006,motesf
151,motesf_spoon-f0e0,gpt-emb-text-similarity-babbage-001,motesf1700,spoon,2.4,0.2686622298408673,motesf
152,motesf_spoon-6d8c,gpt-emb-text-similarity-babbage-001,motesfec89,spoon,2.7,0.33897239285024006,motesf
153,motesf_spoon-7689,gpt-emb-text-similarity-babbage-001,motesf4f6f,spoon,3.6,0.27571382837434233,motesf
154,motesf_spoon-0a65,gpt-emb-text-similarity-babbage-001,motesfeae2,spoon,3.3,0.2920334701829067,motesf
155,motesf_spoon-fd61,gpt-emb-text-similarity-babbage-001,motesff033,spoon,2.1,0.26221546834817655,motesf
156,motesf_spoon-6e2a,gpt-emb-text-similarity-babbage-001,motesf2723,spoon,2.8,0.24754461289676832,motesf
157,motesf_spoon-839a,gpt-emb-text-similarity-babbage-001,motesf5f93,spoon,2.1,0.20020116112502195,motesf
158,motesf_spoon-0e02,gpt-emb-text-similarity-babbage-001,motesf19ca,spoon,3.0,0.3126538002165886,motesf
159,motesf_spoon-0370,gpt-emb-text-similarity-babbage-001,motesff7e6,spoon,3.6,0.2676239729505291,motesf
160,motesf_spoon-31aa,gpt-emb-text-similarity-babbage-001,motesf19f3,spoon,2.4,0.28341785768346706,motesf
161,motesf_spoon-b181,gpt-emb-text-similarity-babbage-001,motesf5878,spoon,3.0,0.2162890768615474,motesf
162,motesf_spoon-67a9,gpt-emb-text-similarity-babbage-001,motesf698d,spoon,2.7,0.33272990574741446,motesf
163,motesf_spoon-6453,gpt-emb-text-similarity-babbage-001,motesf67c6,spoon,2.4,0.318208648853616,motesf
164,motesf_spoon-b9a6,gpt-emb-text-similarity-babbage-001,motesff61d,spoon,4.1,0.3230051510869675,motesf
165,motesf_spoon-36a9,gpt-emb-text-similarity-babbage-001,motesf74db,spoon,2.7,0.3376640871658625,motesf
166,motesf_spoon-debc,gpt-emb-text-similarity-babbage-001,motesf0451,spoon,3.0,0.3079632872460659,motesf
167,motesf_spoon-3825,gpt-emb-text-similarity-babbage-001,motesf7e77,spoon,2.1,0.27845790335553533,motesf
168,motesf_spoon-2328,gpt-emb-text-similarity-babbage-001,motesffe73,spoon,3.3,0.3126893811804662,motesf
169,motesf_spoon-dccc,gpt-emb-text-similarity-babbage-001,motesfd296,spoon,3.0,0.29489722720071776,motesf
170,motesp-g1_spoon-12AM,gpt-emb-text-similarity-babbage-001,12AM,spoon,4.8,0.3227814226075595,motesp
171,motesf_spoon-2cee,gpt-emb-text-similarity-babbage-001,motesfd1fe,spoon,2.4,0.3196269814108461,motesf
172,motesf_spoon-7b3c,gpt-emb-text-similarity-babbage-001,motesf0041,spoon,3.3,0.23870060724741204,motesf
173,motesf_spoon-a911,gpt-emb-text-similarity-babbage-001,motesf9de6,spoon,3.9,0.3238931733059205,motesf
174,motesf_spoon-2e9c,gpt-emb-text-similarity-babbage-001,motesf63dc,spoon,4.1,0.2047231557726692,motesf
175,motesf_spoon-c6e5,gpt-emb-text-similarity-babbage-001,motesfa255,spoon,3.3,0.3646956191372166,motesf
176,motesf_spoon-210b,gpt-emb-text-similarity-babbage-001,motesf274a,spoon,3.6,0.3078177666989359,motesf
177,motesf_spoon-e629,gpt-emb-text-similarity-babbage-001,motesf9b04,spoon,4.1,0.2805761837499011,motesf
178,motesf_spoon-3724,gpt-emb-text-similarity-babbage-001,motesf013d,spoon,2.7,0.3036594460575769,motesf
179,motesf_spoon-cf01,gpt-emb-text-similarity-babbage-001,motesfef0d,spoon,3.0,0.24379609753716702,motesf
180,motesf_spoon-a639,gpt-emb-text-similarity-babbage-001,motesfe2ef,spoon,2.4,0.2750360585352257,motesf
181,motesf_spoon-05e7,gpt-emb-text-similarity-babbage-001,motesf8bf1,spoon,2.7,0.22561940208281972,motesf
182,motesf_spoon-4864,gpt-emb-text-similarity-babbage-001,motesf812b,spoon,3.3,0.2919880010600807,motesf
183,motesf_spoon-ba16,gpt-emb-text-similarity-babbage-001,motesff90f,spoon,1.9,0.264191091744574,motesf
184,motesf_spoon-91e2,gpt-emb-text-similarity-babbage-001,motesfc8ff,spoon,3.6,0.2123190935936058,motesf
185,motesf_spoon-9e22,gpt-emb-text-similarity-babbage-001,motesfeda8,spoon,2.4,0.307672346666243,motesf
186,motesf_spoon-ee76,gpt-emb-text-similarity-babbage-001,motesf46ba,spoon,3.6,0.28499450749625865,motesf
187,motesf_spoon-de01,gpt-emb-text-similarity-babbage-001,motesfb2eb,spoon,3.3,0.3405670462937129,motesf
188,motesf_spoon-970a,gpt-emb-text-similarity-babbage-001,motesf35f4,spoon,2.4,0.2597285419437133,motesf
189,motesf_spoon-d33b,gpt-emb-text-similarity-babbage-001,motesf9a11,spoon,3.9,0.28900202349487314,motesf
190,motesf_spoon-90d5,gpt-emb-text-similarity-babbage-001,motesfbd68,spoon,2.1,0.24239861903467963,motesf
191,motesp-g1_spoon-23MK,gpt-emb-text-similarity-babbage-001,23MK,spoon,3.2,0.2084423635095921,motesp
192,motesf_spoon-43cf,gpt-emb-text-similarity-babbage-001,motesf02e7,spoon,2.4,0.3248089875239053,motesf
193,motesf_spoon-d989,gpt-emb-text-similarity-babbage-001,motesf82aa,spoon,3.9,0.23355953244129546,motesf
194,motesf_spoon-6689,gpt-emb-text-similarity-babbage-001,motesfedde,spoon,3.0,0.24986780311998957,motesf
195,motesf_spoon-41f7,gpt-emb-text-similarity-babbage-001,motesf1afa,spoon,2.7,0.2666351403019407,motesf
196,motesf_spoon-2f8f,gpt-emb-text-similarity-babbage-001,motesf3cec,spoon,3.6,0.24948302637233588,motesf
197,motesp-g1_spoon-33RM,gpt-emb-text-similarity-babbage-001,33RM,spoon,2.8,0.23813417877206666,motesp
198,motesf_spoon-7393,gpt-emb-text-similarity-babbage-001,motesf7a61,spoon,4.1,0.31714123036725983,motesf
199,dod20_tire-5e0f,gpt-emb-text-similarity-babbage-001,dod201,tire,3.2,0.258107519515516,dod20
200,dod20_tire-cda1,gpt-emb-text-similarity-babbage-001,dod2058,tire,3.0,0.38398158570537555,dod20
201,dod20_tire-c2cc,gpt-emb-text-similarity-babbage-001,dod2073,tire,2.8,0.2815256822842187,dod20
202,dod20_tire-8fe3,gpt-emb-text-similarity-babbage-001,dod2082,tire,1.8,0.29381542141609773,dod20
203,dod20_tire-9583,gpt-emb-text-similarity-babbage-001,dod2027,tire,2.7,0.3327428768162456,dod20
204,dod20_tire-e7db,gpt-emb-text-similarity-babbage-001,dod2062,tire,2.5,0.36087800379279567,dod20
205,dod20_tire-be3a,gpt-emb-text-similarity-babbage-001,dod2016,tire,3.0,0.3405703732087245,dod20
206,dod20_tire-f1cd,gpt-emb-text-similarity-babbage-001,dod2080,tire,2.5,0.3026005805218386,dod20
207,dod20_tire-1add,gpt-emb-text-similarity-babbage-001,dod2055,tire,2.7,0.18411395280337117,dod20
208,dod20_tire-e3fb,gpt-emb-text-similarity-babbage-001,dod2035,tire,1.0,0.18137961727788532,dod20
209,dod20_tire-38b7,gpt-emb-text-similarity-babbage-001,dod2017,tire,3.5,0.3540217478060359,dod20
210,dod20_tire-28c8,gpt-emb-text-similarity-babbage-001,dod2085,tire,1.5,0.20736485176519048,dod20
211,dod20_tire-b58b,gpt-emb-text-similarity-babbage-001,dod2082,tire,2.3,0.2567092557165902,dod20
212,dod20_tire-ec14,gpt-emb-text-similarity-babbage-001,dod2018,tire,3.5,0.3764615221439773,dod20
213,dod20_tire-0b83,gpt-emb-text-similarity-babbage-001,dod2031,tire,2.7,0.2187116231868157,dod20
214,dod20_tire-ca6a,gpt-emb-text-similarity-babbage-001,dod2062,tire,2.8,0.17390036564048927,dod20
215,dod20_tire-e034,gpt-emb-text-similarity-babbage-001,dod2058,tire,2.5,0.2782899559361852,dod20
216,dod20_tire-6179,gpt-emb-text-similarity-babbage-001,dod2088,tire,3.3,0.36742086034298593,dod20
217,dod20_tire-8120,gpt-emb-text-similarity-babbage-001,dod2075,tire,3.8,0.3038182069916455,dod20
218,dod20_tire-9ce4,gpt-emb-text-similarity-babbage-001,dod2076,tire,4.2,0.26118975472487194,dod20
219,dod20_tire-f143,gpt-emb-text-similarity-babbage-001,dod2082,tire,2.5,0.32767349954793634,dod20
220,dod20_tire-bc45,gpt-emb-text-similarity-babbage-001,dod2051,tire,2.5,0.3394769504301458,dod20
221,dod20_tire-04f6,gpt-emb-text-similarity-babbage-001,dod2051,tire,3.0,0.35200157312660485,dod20
222,dod20_tire-f5a2,gpt-emb-text-similarity-babbage-001,dod2071,tire,3.5,0.3524493489434386,dod20
223,dod20_tire-d80b,gpt-emb-text-similarity-babbage-001,dod2062,tire,2.2,0.3157309822022438,dod20
224,dod20_tire-8ef1,gpt-emb-text-similarity-babbage-001,dod2076,tire,3.3,0.3162757673671889,dod20
225,dod20_tire-20e9,gpt-emb-text-similarity-babbage-001,dod2023,tire,2.3,0.35151978996665867,dod20
226,dod20_tire-40d4,gpt-emb-text-similarity-babbage-001,dod2023,tire,3.5,0.39844765324978415,dod20
227,dod20_tire-c22c,gpt-emb-text-similarity-babbage-001,dod2047,tire,3.8,0.26356641739360376,dod20
228,dod20_tire-d0d1,gpt-emb-text-similarity-babbage-001,dod2056,tire,1.0,0.22405324776500068,dod20
229,dod20_tire-dabf,gpt-emb-text-similarity-babbage-001,dod2016,tire,3.0,0.35641192168729496,dod20
230,dod20_tire-155b,gpt-emb-text-similarity-babbage-001,dod2078,tire,2.5,0.3242580747265841,dod20
231,dod20_tire-b6f9,gpt-emb-text-similarity-babbage-001,dod202,tire,3.3,0.36301692174362876,dod20
232,dod20_tire-4e80,gpt-emb-text-similarity-babbage-001,dod202,tire,1.5,0.30843207363913794,dod20
233,dod20_tire-61ab,gpt-emb-text-similarity-babbage-001,dod2062,tire,1.5,0.31283479830287564,dod20
234,dod20_tire-837f,gpt-emb-text-similarity-babbage-001,dod2017,tire,2.8,0.22532112776988134,dod20
235,dod20_tire-46a8,gpt-emb-text-similarity-babbage-001,dod2087,tire,3.2,0.3986659642400767,dod20
236,dod20_tire-8927,gpt-emb-text-similarity-babbage-001,dod2085,tire,2.5,0.20794216708187263,dod20
237,dod20_tire-4ed4,gpt-emb-text-similarity-babbage-001,dod208,tire,3.8,0.2910670072527305,dod20
238,dod20_tire-57c3,gpt-emb-text-similarity-babbage-001,dod2041,tire,2.2,0.3567840389432878,dod20
239,dod20_tire-0cb9,gpt-emb-text-similarity-babbage-001,dod2023,tire,2.0,0.2767473481370797,dod20
